Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,1423.27,"+$1,423.27",feb_2025.pdf
Feb 3,"UBER USA, LLC PART. PYMT Direct deposit",27.96,+$27.96,feb_2025.pdf
Feb 6,OASISBATCH PAYROLL Direct deposit,275.9,+$275.90,feb_2025.pdf
Feb 13,OASISBATCH PAYROLL Direct deposit,230.87,+$230.87,feb_2025.pdf
Feb 20,OASISBATCH PAYROLL Direct deposit,440.6,+$440.60,feb_2025.pdf
Feb 27,"DoorDash, Inc. San Francisco CA Cash App Card",48.51,+$48.51,feb_2025.pdf
Feb 27,OASISBATCH PAYROLL Direct deposit,399.43,+$399.43,feb_2025.pdf
