Date,Description,Amount,Original_Amount_Str,Source_File
Money In,,368.64,+$368.64,july_2025.pdf
Jul 1,Walmart.com Dispute Temporary Credit,77.0,+$77.00,july_2025.pdf
Jul 12,From Savings Transfer,2.0,+$2.00,july_2025.pdf
Jul 16,From Savings Transfer,30.0,+$30.00,july_2025.pdf
Jul 22,Family Dollar KILLEEN TX Paper money deposit,64.0,+$64.00,july_2025.pdf
Jul 22,From Savings Transfer,95.64,+$95.64,july_2025.pdf
Jul 29,From Judy Wagner Cash App payment,100.0,+$100.00,july_2025.pdf
